No.,식품명,제조사,조사년도,식품분류,식품군,식품코드,자료원,1회제공량,에너지(Kcal),단백질,지질,탄수화물,총당류,나트륨,콜레스테롤,총 포화 지방산,트랜스 지방산
5561,구포치자쫄깃국수,대구종합식품,2019,가공식품,면류,P20065,식약처(가공식품)NFPF,100g,370,11,1,79,0,870,0,0,0
5562,옛날국수 세면,(합)동명식품,2019,가공식품,면류,P20066,식약처(가공식품)NFPF,100g,350,10,0.7,76,3,1300,0,0,0
5563,가쓰오메밀냉소바,㈜피피이씨음성생면,2019,가공식품,면류,P20067,식약처(가공식품)NFPF,116g,370,10,1.6,79,11,860,0,0,0
5564,송학메밀국수1호,㈜진성웰푸드,2019,가공식품,면류,P20068,식약처(가공식품)NFPF,100g,350,10,0.3,77,2,1136,0,0,0
5565,백제 월남맛 쌀국수,농업회사법인㈜백제,2019,가공식품,면류,P20069,식약처(가공식품)NFPF,100g,348,7,2,76,4,960,0,0.6,0.1
5566,옛날메밀국수,㈜면사랑,2019,가공식품,면류,P20071,식약처(가공식품)NFPF,100g,330,11,0.8,70,0.7,1340,0,0,0
5567,농심 스파게티 tomato,농심,2019,가공식품,면류,P20072,식약처(가공식품)NFPF,100g,370,12,4,71,9,1010,0,1,0
5568,백설 100%국산 햇당면,㈜서안,2019,가공식품,면류,P20073,식약처(가공식품)NFPF,20g,70,0,0,17,0,0,0,0,0
5569,쌀국수 멸치맛,구포국수,2019,가공식품,면류,P20074,식약처(가공식품)NFPF,92g,324,8,1.3,69,4,1950,0,0,0
5570,면사랑 구수한 메밀국수,㈜면사랑,2019,가공식품,면류,P20075,식약처(가공식품)NFPF,100g,335,10,1.3,70,13,1500,0,0,0
5571,해오름 국수,㈜은성푸드,2019,가공식품,면류,P20076,식약처(가공식품)NFPF,100g,341,10,1,73,1,700,0,0,0
5572,매운맛 돈코츠라멘,㈜피피이씨음성생면,2019,가공식품,면류,P20077,식약처(가공식품)NFPF,114g,405,10,11,67,4,1490,3,1.7,0
5573,손칼국수,삼양식품㈜원주공장,2019,가공식품,면류,P20078,식약처(가공식품)NFPF,100g,355,11,1,76,4,1500,0,0.5,0
5574,청수물냉면,청수식품㈜,2019,가공식품,면류,P20079,식약처(가공식품)NFPF,180g,594,13.7,5.9,121.4,15.7,1510.8,0,1.2,0
5575,옛날쌀국수 소면,(합)동명식품,2019,가공식품,면류,P20080,식약처(가공식품)NFPF,100g,355,12,0,77,2,1200,0,0,0
5576,백제 김치맛 쌀국수,농업회사법인㈜백제,2019,가공식품,면류,P20082,식약처(가공식품)NFPF,92g,370,7,5,74,4,1640,0,1.5,0
5577,면사랑잔치국수(중면),㈜면사랑,2019,가공식품,면류,P20083,식약처(가공식품)NFPF,100g,330,10,1.5,71,8,1240,0,0.5,0
5578,쫄깃올레구포국수(소면),새한식품,2019,가공식품,면류,P20084,식약처(가공식품)NFPF,100g,350,10,2,75,4,1360,0,0,0
5579,은성국수,㈜은성푸드,2019,가공식품,면류,P20085,식약처(가공식품)NFPF,100g,355,9,1.3,77,8,1040,0,0,0
5580,곰탕칼국수,㈜피피이씨음성생면,2019,가공식품,면류,P20086,식약처(가공식품)NFPF,100g,365,9,2.3,77,6,1230,0,0.5,0
5581,소면,복만네식품,2019,가공식품,면류,P20087,식약처(가공식품)NFPF,100g,350,8,0,79,4,830,0,0,0
5582,백설 100%고구마전분 햇당면,㈜서안,2019,가공식품,면류,P20088,식약처(가공식품)NFPF,100g,350,0,0,87,0,0,0,0,0
5583,얼큰한맛 쌀국수,농업회사법인㈜백제,2019,가공식품,면류,P20089,식약처(가공식품)NFPF,90g,350,7,3.1,74,1,1880,0,1.8,0
5584,구포더국시(소면),새한식품,2019,가공식품,면류,P20090,식약처(가공식품)NFPF,100g,355,10,0,78,7,860,0,0,0
5585,후루룩칼국수,농심,2019,가공식품,면류,P20091,식약처(가공식품)NFPF,97g,335,9,0.5,74,4,1540,0,0,0
5586,신갈산 치자콩국수용면,신갈산맛국수,2019,가공식품,면류,P20093,식약처(가공식품)NFPF,100g,355,9.6,0.4,78.3,0,1430,0,0.9,0
5587,"농협하나로 쫄깃국수(소면,중면)",대양제면,2019,가공식품,면류,P20094,식약처(가공식품)NFPF,100g,350,9,0,78,3,880,0,0,0
5588,신송쫄깃한당면,㈜한밭식품,2019,가공식품,면류,P20095,식약처(가공식품)NFPF,100g,70,0,0,18,0,0,0,0,0
5589,구포쫄깃국수(소-23cm)1.4k,칠갑농산㈜,2019,가공식품,면류,P20096,식약처(가공식품)NFPF,100g,350,10,0.5,77,5,1360,0,0,0
5590,컵누들우동맛,오뚜기라면㈜,2019,가공식품,면류,P20097,식약처(가공식품)NFPF,38.1g,120,2,0.5,27,3,890,0,0,0
5591,자루소바,㈜영동식품,2019,가공식품,면류,P20098,식약처(가공식품)NFPF,100g,344,14,2.3,67,0,1650,0,0,0
5592,튀기지 않은 사리면,㈜피피이씨음성생면,2019,가공식품,면류,P20099,식약처(가공식품)NFPF,92g,360,8,4,73,0.7,250,0,0.6,0
5593,(봉평촌) 메밀막국수,효천푸드,2019,가공식품,면류,P20100,식약처(가공식품)NFPF,100g,345,9,0.8,75,2,1440,0,0.4,0
5594,컵누들 베트남쌀국수 용기,오뚜기라면㈜,2019,가공식품,면류,P20101,식약처(가공식품)NFPF,88.5g,265,6,1.3,57,6,1500,0,0.5,0
5595,일월풍면 멸치 쌀국수,농업회사법인㈜백제,2019,가공식품,면류,P20102,식약처(가공식품)NFPF,100g,355,9,0,80,8,1340,20,0,0
5596,옛날강황국수,(합)동명식품,2019,가공식품,면류,P20104,식약처(가공식품)NFPF,100g,345,11,0,75,4,1300,0,0,0
5597,참당면,한교식품산업사,2019,가공식품,면류,P20105,식약처(가공식품)NFPF,25g,90,0,0,22,0,0,0,0,0
5598,농심 스파게티 까르보나라,농심,2019,가공식품,면류,P20106,식약처(가공식품)NFPF,106g,390,13,4,76,12,860,35,1.6,0
5599,후루룩국수,농심,2019,가공식품,면류,P20107,식약처(가공식품)NFPF,92g,320,10,0.4,69,3,1650,3,0,0
5600,콩나물 뚝배기,농심,2019,가공식품,면류,P20108,식약처(가공식품)NFPF,93g,335,7,1.3,74,2,1360,10,0,0
5601,쌀국수1호1k,칠갑농산㈜,2019,가공식품,면류,P20109,식약처(가공식품)NFPF,100g,357,10,1,77,3,1090,0,0.4,0
5602,CHOICE L 소면,대양제면,2019,가공식품,면류,P20110,식약처(가공식품)NFPF,100g,350,9,0,78,3,1020,0,0,0
5603,한살림당면,농업회사법인㈜안성식품,2019,가공식품,면류,P20111,식약처(가공식품)NFPF,25g,50,0,0,17,0,0,0,0,0
5604,부드럽고 쫄깃한칼국수,㈜은성푸드,2019,가공식품,면류,P20112,식약처(가공식품)NFPF,100g,360,10,1.3,77,3,1080,0,0,0
5605,옛날 수연소면,㈜강식품,2019,가공식품,면류,P20113,식약처(가공식품)NFPF,100g,345,13,1.2,71,3,1770,0,0,0
5606,산동왕당면,㈜한밭식품,2019,가공식품,면류,P20115,식약처(가공식품)NFPF,20g,87.5,0,0,21,0,0,0,0,0
5607,해태 국수,㈜은성푸드,2019,가공식품,면류,P20116,식약처(가공식품)NFPF,100g,360,10,1.5,77,1.5,1020,0,0,0
5608,즉석쌀국수(얼큰한맛),현농㈜,2019,가공식품,면류,P20117,식약처(가공식품)NFPF,92g,327,7.3,1,73,9,1490,0,0.01,0
5609,부송 국수,㈜은성푸드,2019,가공식품,면류,P20118,식약처(가공식품)NFPF,100g,385,11,6,72,5,1080,0,1.7,0
5610,즉석쌀국수(화끈멸치맛),㈜미정,2019,가공식품,면류,P20119,식약처(가공식품)NFPF,92g,320,8,0.7,70,8,1880,6,0.3,0
5611,육개장맛 쌀국수,농업회사법인㈜백제,2019,가공식품,면류,P20120,식약처(가공식품)NFPF,92g,370,7,5,74,4,1640,0,1.5,0
5612,장푸드 쫄깃국수,신갈산맛국수,2019,가공식품,면류,P20121,식약처(가공식품)NFPF,100g,355,9.6,0.4,78.3,0,1430,0,0.9,0
5613,해지촌국수,㈜은성푸드,2019,가공식품,면류,P20122,식약처(가공식품)NFPF,100g,358,9.6,1.7,75.8,0,1151,0,0.5,0
5614,샘표 중면,우리면,2019,가공식품,면류,P20123,식약처(가공식품)NFPF,100g,335,10,1.5,70,3,1000,0,0,0
5615,쌀국수 해물맛,구포국수,2019,가공식품,면류,P20124,식약처(가공식품)NFPF,92g,324,8,1.3,69,4,1950,0,0,0
5616,쌀국수 얼큰한맛,구포국수,2019,가공식품,면류,P20126,식약처(가공식품)NFPF,92g,324,8,1.3,69,4,1950,0,0,0
5617,쌀국수 김치맛,구포국수,2019,가공식품,면류,P20127,식약처(가공식품)NFPF,92g,324,8,1.3,69,4,1950,0,0,0
5618,더 쫄깃한 진공반죽 국수,㈜은성푸드,2019,가공식품,면류,P20128,식약처(가공식품)NFPF,100g,355,11,0.2,78,4,990,0,0,0
5619,쉐프원화영찰진당면,㈜한밭식품,2019,가공식품,면류,P20129,식약처(가공식품)NFPF,200g,70,0,0,18,0,5,0,0,0
5620,우리쌀국수(멸치맛)77.5,칠갑농산㈜,2019,가공식품,면류,P20130,식약처(가공식품)NFPF,77.5g,270,9,0.5,57,2,1160,5,0.2,0
5621,예체명 옛쫄깃국수,㈜영동식품,2019,가공식품,면류,P20131,식약처(가공식품)NFPF,100g,344,11,1,72,0,1054,0,0,0
5622,한그릇메밀냉소바,㈜피피이씨음성생면,2019,가공식품,면류,P20132,식약처(가공식품)NFPF,116g,355,11,3.1,74,10,740,0,0.7,0
5623,안성찰당면,농업회사법인㈜안성식품,2019,가공식품,면류,P20133,식약처(가공식품)NFPF,20g,70,1,0,17,0,0,0,0,0
5624,청수메밀국수,금천농산(합),2019,가공식품,면류,P20134,식약처(가공식품)NFPF,100g,346,12,0.1,74,4,1864,0,0,0
5625,쿡시 멸치맛 쌀국수,㈜한스코리아,2019,가공식품,면류,P20135,식약처(가공식품)NFPF,92g,320,9,2,67,2.6,1530,3.6,0.7,0
5626,컵누들 베트남쌀국수 매콤한맛 용기,오뚜기라면㈜,2019,가공식품,면류,P20137,식약처(가공식품)NFPF,84.5g,310,7,0.6,54,4,1740,0,0,0
5627,샘표 잔치국수,우리면,2019,가공식품,면류,P20138,식약처(가공식품)NFPF,101g,329,11,1.4,68,7,2289,0,0,0
5628,초이스엘메밀국수,대양제면,2019,가공식품,면류,P20139,식약처(가공식품)NFPF,100g,340,10,0,75,2,1350,0,0,0
5629,드레싱누들 오리엔탈소스맛,농심,2019,가공식품,면류,P20140,식약처(가공식품)NFPF,118g,385,9,6,74,19,1060,0,1,0
5630,충주사과 수연소면,푸른들식품,2019,가공식품,면류,P20141,식약처(가공식품)NFPF,100g,347.3,11.4,2.1,70.7,1.66,1524.23,0,1.48,0
5631,골드네모난당면,㈜한밭식품,2019,가공식품,면류,P20142,식약처(가공식품)NFPF,200g,69,0,0,17,0,0,0,0,0
5632,바지락칼국수,삼양식품㈜원주공장,2019,가공식품,면류,P20143,식약처(가공식품)NFPF,100g,355,10,1.4,75,4,1710,0,0,0
5633,대진당면,대진식품,2019,가공식품,면류,P20144,식약처(가공식품)NFPF,20g,351.47,0.03,0.23,87.27,0,9.39,0,0,0
5634,샘표 바지락칼국수,우리면,2019,가공식품,면류,P20145,식약처(가공식품)NFPF,100.3g,340,10,1.1,73,7,1674,0,0.4,0
5635,칠갑국수1호소면(opp)3k,칠갑농산㈜,2019,가공식품,면류,P20146,식약처(가공식품)NFPF,100g,355,12,0.8,75,1,450,0,0,0
5636,샘표 비빔국수,우리면,2019,가공식품,면류,P20149,식약처(가공식품)NFPF,135g,413,10,1.9,89,14,1845,0,0,0
5637,대영당면,대진식품,2019,가공식품,면류,P20150,식약처(가공식품)NFPF,20g,351.03,0.06,0.23,87.18,0,9.65,0,0,0
5638,밀락원잔치특면,㈜영학식품,2019,가공식품,면류,P20151,식약처(가공식품)NFPF,100g,340,9,0.9,72,2,1130,0,0,0
5639,청어표 메밀국수,대구종합식품,2019,가공식품,면류,P20152,식약처(가공식품)NFPF,100g,370,11,1,78,0,850,0,0,0
5640,콩국수용3k,칠갑농산㈜,2019,가공식품,면류,P20153,식약처(가공식품)NFPF,100g,363,11,3,74,4,1950,0,1.1,0
5641,콩국수,㈜면사랑,2019,가공식품,면류,P20154,식약처(가공식품)NFPF,100g,360,12,1.1,75,2,2620,0,0,0
5642,창희국수,㈜창희식품,2019,가공식품,면류,P20155,식약처(가공식품)NFPF,100g,360,11,2,72,0,628,0,0,0
5643,장우진당면,㈜한밭식품,2019,가공식품,면류,P20156,식약처(가공식품)NFPF,20g,87.5,0,0,21,0,0,0,0,0
5644,소표금실면,대양제면,2019,가공식품,면류,P20157,식약처(가공식품)NFPF,150g,525,15,0,114,5,1140,0,0,0
5645,장수면,복만네식품,2019,가공식품,면류,P20158,식약처(가공식품)NFPF,100g,350,8,0,79,4,830,0,0,0
5646,리얼프라이스(소면)500,칠갑농산㈜,2019,가공식품,면류,P20159,식약처(가공식품)NFPF,100g,360,10,1.8,76,3,1170,0,1.1,0
5647,칠갑메밀면400,칠갑농산㈜,2019,가공식품,면류,P20160,식약처(가공식품)NFPF,100g,345,10,1.5,73,2.6,1510,0,0.58,0
5648,쫄깃쫄깃 찰진 국수,㈜은성푸드,2019,가공식품,면류,P20161,식약처(가공식품)NFPF,100g,360,11,0.5,78,5,1240,0,0,0
5649,쿡시 사골맛 쌀국수,㈜한스코리아,2019,가공식품,면류,P20162,식약처(가공식품)NFPF,92g,330,20,0.9,60,2.9,1484,1,0.8,0
5650,쌀국수 멸치맛,㈜미정,2019,가공식품,면류,P20163,식약처(가공식품)NFPF,92g,325,7,0.6,72,8,1760,3,0.4,0
5651,튀기지 않은 해물짬뽕,㈜피피이씨음성생면,2019,가공식품,면류,P20164,식약처(가공식품)NFPF,386g,1390,32,8,302,29,7160,5,1.9,0
5652,신갈산메밀국수,신갈산맛국수,2019,가공식품,면류,P20165,식약처(가공식품)NFPF,100g,364,10.5,1.2,77.8,0,1012.85,0,0.9,0
5653,옛날사리당면,㈜동순덕식품,2019,가공식품,면류,P20166,식약처(가공식품)NFPF,100g,345,0,0,86,0,15,0,0,0
5654,Only Price찰진소면,대양제면,2019,가공식품,면류,P20167,식약처(가공식품)NFPF,100g,350,10,0.4,76,5,1280,0,0.3,0
5655,자른당면,㈜한밭식품,2019,가공식품,면류,P20168,식약처(가공식품)NFPF,20g,75,0,0,18,0,0,0,0,0
5656,얼음찬물냉면341,칠갑농산㈜,2019,가공식품,면류,P20170,식약처(가공식품)NFPF,341g,380,10,1.6,81,13,1990,0,0.2,0
5657,오뚜기 옛날잡채,오뚜기라면㈜,2019,가공식품,면류,P20171,식약처(가공식품)NFPF,75g,225,2,5,43,8,710,0,1,0
5658,쌀국수 얼큰한맛,㈜미정,2019,가공식품,면류,P20172,식약처(가공식품)NFPF,92g,325,7,0.8,72,8,2200,0,0.4,0
5659,결고운콩국수면용,달성식품산업사,2019,가공식품,면류,P20173,식약처(가공식품)NFPF,100g,355,8,1,79,2,820,0,0,0
5660,쉐푸드 베트남쌀국수,세진식품㈜,2019,가공식품,면류,P20174,식약처(가공식품)NFPF,99g,330,7,0.5,73,3,1720,0,0,0
5661,국수면,㈜은성푸드,2019,가공식품,면류,P20175,식약처(가공식품)NFPF,3000g,360,10,1,77,4,930,0,0.3,0
5662,코바웰빙 즉석쌀국수,농업회사법인㈜백제,2019,가공식품,면류,P20176,식약처(가공식품)NFPF,91g,319,8,0,71,2,1530,5,0,0
5663,양반 해남고구마당면,㈜한밭식품,2019,가공식품,면류,P20177,식약처(가공식품)NFPF,20g,70,0,0,17,0,0,0,0,0
5664,할매손콩국수용,백천제면,2019,가공식품,면류,P20178,식약처(가공식품)NFPF,100g,362,9.7,1.3,77.9,0,879,0,0.81,0
5665,쿡시 얼큰한 맛 쌀국수,㈜한스코리아,2019,가공식품,면류,P20179,식약처(가공식품)NFPF,92g,320,5,0.7,74,5,1479,0,0.3,0
5666,메밀국수,㈜영동식품,2019,가공식품,면류,P20181,식약처(가공식품)NFPF,100g,350,12,0.5,74,9,2020,0,1,0
5667,메밀국수,평창봉평메밀식품,2019,가공식품,면류,P20182,식약처(가공식품)NFPF,100g,358,14,2.2,71,2,864,0,0.7,0
5668,사누끼냉동우동면(5입-10) 1.15K,천일식품㈜홍성공장,2019,가공식품,면류,P20311,식약처(가공식품)NFPF,230g,320,7,3,66,3,380,0,1.2,0
5669,CJ동치미물냉면,씨제이제일제당㈜ 남원공장,2019,가공식품,면류,P20312,식약처(가공식품)NFPF,454g,475,13,1.8,102,16,1520,0,0,0
5670,치자 중화면,동성식품,2019,가공식품,면류,P20313,식약처(가공식품)NFPF,230g,320,6,0,74,1,250,0,0,0
5671,사누끼우동면,씨제이제일제당㈜ 남원공장,2019,가공식품,면류,P20314,식약처(가공식품)NFPF,230g,299,6,1.7,65,0.8,460,0,0.5,0
5672,대판사누끼,㈜에스피씨삼립,2019,가공식품,면류,P20315,식약처(가공식품)NFPF,250g,351,8,1.7,76,0,280,4,0,0
5673,면사랑 냉동사누끼우동 쫄깃한맛,㈜면사랑,2019,가공식품,면류,P20316,식약처(가공식품)NFPF,230g,310,6,0.6,70,0.7,560,0,0,0
5674,면사랑사누끼우동면전문점용,㈜면사랑,2019,가공식품,면류,P20317,식약처(가공식품)NFPF,230g,310,6,0.6,70,0.7,560,0,0,0
5675,生生(생생)우동,농심,2019,가공식품,면류,P20318,식약처(가공식품)NFPF,253g,405,11,4,81,7,1760,0,1.2,0
5676,냉동메밀면,㈜면사랑,2019,가공식품,면류,P20319,식약처(가공식품)NFPF,250g,340,14,0.6,70,0.7,430,0,0.7,0
5677,사누끼냉동우동면(1입-10) 230,천일식품㈜홍성공장,2019,가공식품,면류,P20320,식약처(가공식품)NFPF,230g,320,7,3,66,3,380,0,1.2,0
5678,CJ평양물냉면,씨제이제일제당㈜ 남원공장,2019,가공식품,면류,P20321,식약처(가공식품)NFPF,450g,390,7,2.4,85,22,2670,0,1,0
5679,생가득평양물냉면,㈜피피이씨음성생면,2019,가공식품,면류,P20322,식약처(가공식품)NFPF,425g,440,9,4.3,92,17,1400,0,1.7,0
5680,수타식중화면1.15K,천일식품㈜홍성공장,2019,가공식품,면류,P20323,식약처(가공식품)NFPF,230g,300,9,0,65,0,190,0,0,0
5681,농심가락업소용우동,농심,2019,가공식품,면류,P20324,식약처(가공식품)NFPF,230g,285,6,0,65,0.8,100,0,0,0
5682,평양물냉면,㈜피피이씨음성생면,2019,가공식품,면류,P20325,식약처(가공식품)NFPF,445g,455,10,1.8,95,18,2120,0,0,0
5683,사누끼냉동메밀맛면250,천일식품㈜홍성공장,2019,가공식품,면류,P20326,식약처(가공식품)NFPF,250g,305,13,0,63,0,450,0,0,0
5684,싱거운밥상 정통사누끼우동 230,동성식품,2019,가공식품,면류,P20327,식약처(가공식품)NFPF,230g,372,6,1.8,83,0,223,0,0,0
5685,본고장면,한일식품,2019,가공식품,면류,P20328,식약처(가공식품)NFPF,200g,280,7,2.2,58,0,200,0,0.6,0
5686,농심가락냉동짜장면(업소용),농심,2019,가공식품,면류,P20329,식약처(가공식품)NFPF,250g,325,10,0,71,0,320,0,0,0
5687,면사랑 쟁반막국수,㈜면사랑,2019,가공식품,면류,P20330,식약처(가공식품)NFPF,200g,500,13,2.7,114,2,770,0,1.1,0
5688,면사랑 프리미엄 사누끼우동(부드러운 맛),㈜면사랑,2019,가공식품,면류,P20331,식약처(가공식품)NFPF,250g,335,6,0.7,76,1,610,0,0,0
5689,Teriyaki Stir-fry Udon,㈜피피이씨음성생면,2019,가공식품,면류,P20332,식약처(가공식품)NFPF,208.5g,1560,9,5,76,8,670,0,1,0
5690,가쓰오우동,㈜피피이씨음성생면,2019,가공식품,면류,P20333,식약처(가공식품)NFPF,233g,340,9,2.6,72,10,1570,0,0,0
5691,면사랑 칡냉면,㈜면사랑,2019,가공식품,면류,P20334,식약처(가공식품)NFPF,200g,500,15,3.3,102,2,620,0,0.7,0
5692,투움바 파스타,㈜이가자연면,2019,가공식품,면류,P20335,식약처(가공식품)NFPF,179.5g,487,11,28,48,1,674,15,15,0.5
5693,면사랑 냉동라멘,㈜면사랑,2019,가공식품,면류,P20336,식약처(가공식품)NFPF,220g,320,12,1.4,65,0,720,0,0,0
5694,면사랑 쫄면 (더 단단한 면발),㈜면사랑,2019,가공식품,면류,P20337,식약처(가공식품)NFPF,200g,490,13,4.9,98,1,380,0,1.5,0
5695,오뚜기생면사리,한일식품,2019,가공식품,면류,P20338,식약처(가공식품)NFPF,200g,315,9,2.2,65,0,280,0,0,0
5696,면사랑냉동칼국수,㈜면사랑,2019,가공식품,면류,P20339,식약처(가공식품)NFPF,230g,315,8,1,69,1,290,0,0.7,0
5697,쫄면,㈜평화식품,2019,가공식품,면류,P20340,식약처(가공식품)NFPF,200g,545.4,11.4,2.2,120,0.2,596.2,0,0.78,0.06
5698,면사랑 평양냉면,㈜면사랑,2019,가공식품,면류,P20341,식약처(가공식품)NFPF,200g,510,16,3.6,103,2,400,0,0.9,0
5699,농심가락냉동우동(업소용),농심,2019,가공식품,면류,P20342,식약처(가공식품)NFPF,250g,320,7,0,73,0.9,150,0,0,0
5700,李家 메밀소바,㈜이가자연면,2019,가공식품,면류,P20343,식약처(가공식품)NFPF,135.5g,220,8,1.4,44,5,1260,0,0,0
5701,면사랑 냉동소면,㈜면사랑,2019,가공식품,면류,P20344,식약처(가공식품)NFPF,200g,270,10,0,58,2,320,0,0,0
5702,교다이야가케우동1.17K,천일식품㈜홍성공장,2019,가공식품,면류,P20345,식약처(가공식품)NFPF,585g,370,7,50,86,5,1280,0,0,0
5703,쫄면,광진식품,2019,가공식품,면류,P20346,식약처(가공식품)NFPF,200g,305,12,11,39,0,550,0,3.4,0
5704,면사랑 냉동중화면,㈜면사랑,2019,가공식품,면류,P20347,식약처(가공식품)NFPF,230g,315,9,1.5,66,0,440,0,0,0
5705,서울식 물냉면,㈜피피이씨음성생면,2019,가공식품,면류,P20348,식약처(가공식품)NFPF,420g,435,9,4.2,91,16,1400,0,1.7,0
5706,오`쉐프사누끼우동,㈜에스피씨삼립,2019,가공식품,면류,P20349,식약처(가공식품)NFPF,230g,280,6,0,64,0,270,0,0,0
5707,면사랑함흥냉면,㈜면사랑,2019,가공식품,면류,P20350,식약처(가공식품)NFPF,200g,500,14,2.2,106,5,350,0,0.6,0
5708,싱거운밥상 중화냉동면,동성식품,2019,가공식품,면류,P20351,식약처(가공식품)NFPF,250g,360,10,2.6,74,0,190,0,1,0.03
5709,면사랑 냉동중화면 전문점용,㈜면사랑,2019,가공식품,면류,P20352,식약처(가공식품)NFPF,230g,315,9,1.5,66,0,440,0,0,0
5710,중화면,씨제이제일제당㈜ 남원공장,2019,가공식품,면류,P20353,식약처(가공식품)NFPF,250g,383,13,2.1,78,0,730,0,0.6,0
5711,CJ함흥비빔냉면,씨제이제일제당㈜ 남원공장,2019,가공식품,면류,P20354,식약처(가공식품)NFPF,237g,550,13.8,3.2,116.6,23.7,820.7,0,0.7,0
5712,쉐프원 사누끼우동면,㈜두영종합식품,2019,가공식품,면류,P20355,식약처(가공식품)NFPF,230g,320,7,0,73,2,675,0,0,0
5713,가쓰오우동,씨제이제일제당㈜ 남원공장,2019,가공식품,면류,P20356,식약처(가공식품)NFPF,233g,367,11,3.9,72,9,1659,0,1.3,0
5714,해든나라물냉면,㈜합천식품,2019,가공식품,면류,P20357,식약처(가공식품)NFPF,200g,466,14,0,102.4,102,140,0,0.04,0
5715,칡냉면,별가식품,2019,가공식품,면류,P20358,식약처(가공식품)NFPF,200g,476,19,1.7,96,0.9,681,0,0.5,0
5716,용우동 냉동면,동성식품,2019,가공식품,면류,P20359,식약처(가공식품)NFPF,250g,404,7,2,90,0,243,0,0.5,0
5717,실곤약,㈜한미식품,2019,가공식품,면류,P20360,식약처(가공식품)NFPF,100g,10,0,0,0,0,0,0,0,0
5718,칡냉면,농민식품,2019,가공식품,면류,P20361,식약처(가공식품)NFPF,200g,478,14,1,102,2,934,0,1,0
5719,수타식 아빠가 만들어도 맛있는 우동,㈜피피이씨음성생면,2019,가공식품,면류,P20362,식약처(가공식품)NFPF,195g,320,8,3.1,66,6,1610,0,0.6,0
5720,미소야 사누끼우동면,동성식품,2019,가공식품,면류,P20363,식약처(가공식품)NFPF,250g,404,7,2,90,0,243,0,0.5,0
5721,칼국수1.15K,천일식품㈜홍성공장,2019,가공식품,면류,P20364,식약처(가공식품)NFPF,230g,332,9,1.3,71,2,450,0,0.8,0
5722,사누끼냉동우동면(5입-10) 1.25K,천일식품㈜홍성공장,2019,가공식품,면류,P20365,식약처(가공식품)NFPF,230g,320,7,1.2,66,3,380,0,1.2,0
5723,함흥비빔냉면,㈜피피이씨음성생면,2019,가공식품,면류,P20366,식약처(가공식품)NFPF,230g,500,12,6,100,18,810,0,1.2,0
5724,칠갑쫄면,칠갑농산㈜,2019,가공식품,면류,P20367,식약처(가공식품)NFPF,200g,491,13,2.8,103,0,620,0,0.5,0
5725,요리앤좋을재 중화면,동성식품,2019,가공식품,면류,P20368,식약처(가공식품)NFPF,250g,360,10,2.6,74,0,190,0,1,0
5726,사누끼 정통 냉동 우동면,아워홈,2019,가공식품,면류,P20369,식약처(가공식품)NFPF,230g,335,8,3.5,68,0,660,0,0.8,0
5727,매콤달큰 시원한배물냉면,씨제이제일제당㈜ 남원공장,2019,가공식품,면류,P20370,식약처(가공식품)NFPF,485g,525,9,4.2,113,25,2460,0,0.9,0
5728,오사카식우동,㈜피피이씨음성생면,2019,가공식품,면류,P20371,식약처(가공식품)NFPF,213.3g,330,9,2.8,69,7,1410,0,0.6,0
5729,칡냉면,㈜교동식품 제2공장,2019,가공식품,면류,P20372,식약처(가공식품)NFPF,400g,945,29,0,207,0,1225,0,0,0
5730,매콤달콤생쫄면,덕산식품,2019,가공식품,면류,P20373,식약처(가공식품)NFPF,230g,530,12,4.1,113,17,1060,0,0.7,0
5731,프리미엄 통밀우동면,동성식품,2019,가공식품,면류,P20374,식약처(가공식품)NFPF,230g,295,6,0.1,71,1.2,253,0,0,0
5732,식자재왕 사누끼우동,㈜두영종합식품,2019,가공식품,면류,P20375,식약처(가공식품)NFPF,230g,305,6,0.6,68,0,220,0,0.4,0
5733,CJ가쓰오우동 한그릇,씨제이제일제당㈜ 남원공장,2019,가공식품,면류,P20376,식약처(가공식품)NFPF,223g,354,10,3.3,71,9,1910,0,1.1,0
5734,수타식우동사리면,㈜피피이씨음성생면,2019,가공식품,면류,P20377,식약처(가공식품)NFPF,210g,320,8,2.7,67,1,290,0,0.6,0
5735,해든나라고급물냉면,㈜합천식품,2019,가공식품,면류,P20378,식약처(가공식품)NFPF,200g,476.6,13.4,1.4,102.6,2.6,662.8,0,0.2,0
5736,황쫄면,별가식품,2019,가공식품,면류,P20379,식약처(가공식품)NFPF,200g,476,19,1.7,96,0.9,681,0,0.5,0
5737,평양냉면,별가식품,2019,가공식품,면류,P20380,식약처(가공식품)NFPF,200g,476,19,1.7,96,0.9,681,0,0.5,0
5738,면사랑 반개 우동면,㈜면사랑,2019,가공식품,면류,P20381,식약처(가공식품)NFPF,250g,370,9,3.8,75,1,350,0,3.6,0
5739,순메밀 물냉면,㈜피피이씨음성생면,2019,가공식품,면류,P20382,식약처(가공식품)NFPF,425g,465,15,4.7,94,17,1460,0,0.9,0
5740,해든나라쫄면,㈜합천식품,2019,가공식품,면류,P20383,식약처(가공식품)NFPF,200g,450,7,0,105,104.4,160,0,0.04,0
5741,저칼로리누들 실곤약,㈜한미식품,2019,가공식품,면류,P20384,식약처(가공식품)NFPF,100g,12,0,0,3,0,0,0,0,0
